Rank,Title,Year,IMDB Rating
112,112. Like Stars on Earth,2007,"8.3
 (224K)"
113,113. A Separation,2011,"8.3
 (272K)"
114,114. To Kill a Mockingbird,1962,"8.3
 (346K)"
115,115. Die Hard,1988,"8.2
 (1M)"
116,116. Indiana Jones and the Last Crusade,1989,"8.2
 (847K)"
117,117. The Sting,1973,"8.2
 (293K)"
118,118. A Clockwork Orange,1971,"8.2
 (919K)"
119,119. Metropolis,1927,"8.3
 (197K)"
120,120. Oppenheimer,2023,"8.3
 (932K)"
121,121. Snatch,2000,"8.2
 (955K)"
122,122. 1917,2019,"8.2
 (741K)"
123,123. L.A. Confidential,1997,"8.2
 (647K)"
124,124. Bicycle Thieves,1948,"8.2
 (188K)"
125,125. Downfall,2004,"8.2
 (392K)"
126,126. Dangal,2016,"8.3
 (231K)"
127,127. The Wolf of Wall Street,2013,"8.2
 (1.7M)"
128,128. The Chaos Class Failed the Class,1975,"8.6
 (28K)"
129,129. Green Book,2018,"8.2
 (651K)"
130,130. Hamilton,2020,"8.3
 (132K)"
131,131. The Truman Show,1998,"8.2
 (1.3M)"
132,132. Taxi Driver,1976,"8.2
 (994K)"
133,133. Batman Begins,2005,"8.2
 (1.7M)"
134,134. For a Few Dollars More,1965,"8.2
 (293K)"
135,135. Judgment at Nuremberg,1961,"8.3
 (93K)"
136,136. Shutter Island,2010,"8.2
 (1.6M)"
137,137. Some Like It Hot,1959,"8.2
 (298K)"
138,138. Jurassic Park,1993,"8.2
 (1.1M)"
139,139. The Kid,1921,"8.2
 (143K)"
140,140. The Father,2020,"8.2
 (218K)"
141,141. All About Eve,1950,"8.2
 (146K)"
142,142. There Will Be Blood,2007,"8.2
 (681K)"
143,143. The Sixth Sense,1999,"8.2
 (1.1M)"
144,144. Ran,1985,"8.2
 (147K)"
145,145. Casino,1995,"8.2
 (601K)"
146,146. Top Gun: Maverick,2022,"8.2
 (800K)"
147,147. No Country for Old Men,2007,"8.2
 (1.1M)"
148,148. The Thing,1982,"8.2
 (507K)"
149,149. Unforgiven,1992,"8.2
 (459K)"
150,150. Pan's Labyrinth,2006,"8.2
 (731K)"
